iter	Passed	Remaining
0	57	57324
1	58	29334
2	60	19959
3	62	15519
4	64	12744
5	64	10717
6	65	9263
7	66	8197
8	67	7387
9	67	6719
10	68	6202
11	70	5785
12	70	5372
13	71	5018
14	71	4709
15	72	4439
16	73	4235
17	73	4025
18	75	3895
19	75	3722
20	76	3563
21	76	3419
22	77	3287
23	79	3229
24	79	3116
25	82	3073
26	82	2986
27	84	2943
28	88	2971
29	89	2885
30	89	2804
31	90	2728
32	90	2657
33	91	2598
34	92	2538
35	93	2494
36	93	2441
37	94	2396
38	95	2353
39	96	2311
40	96	2268
41	98	2247
42	99	2204
43	99	2162
44	100	2122
45	100	2083
46	100	2046
47	101	2010
48	101	1978
49	103	1970
50	104	1940
51	104	1909
52	105	1880
53	105	1851
54	106	1837
55	107	1817
56	109	1807
57	110	1792
58	110	1768
59	111	1749
60	112	1726
61	112	1705
62	113	1687
63	114	1669
64	114	1650
65	115	1636
66	116	1617
67	116	1601
68	118	1600
69	119	1582
70	119	1564
71	120	1546
72	120	1530
73	120	1513
74	122	1505
75	122	1493
76	123	1481
77	125	1480
78	125	1466
79	126	1451
80	126	1437
81	127	1423
82	127	1406
83	128	1396
84	129	1389
85	129	1377
86	130	1365
87	130	1352
88	130	1340
89	131	1329
90	131	1317
91	132	1306
92	132	1295
93	133	1284
94	133	1273
95	134	1270
96	139	1296
97	139	1286
98	141	1285
99	141	1275
100	143	1274
101	143	1264
102	144	1255
103	144	1245
104	145	1236
105	145	1227
106	146	1220
107	146	1212
108	147	1203
109	147	1195
110	150	1207
111	151	1204
112	152	1198
113	153	1190
114	153	1183
115	154	1176
116	154	1168
117	155	1163
118	156	1157
119	158	1159
120	158	1152
121	158	1143
122	159	1137
123	160	1130
124	160	1124
125	161	1118
126	162	1114
127	163	1111
128	164	1108
129	165	1106
130	166	1102
131	167	1098
132	168	1096
133	169	1092
134	171	1095
135	172	1094
136	172	1089
137	173	1084
138	174	1078
139	174	1074
140	175	1070
141	176	1063
142	176	1058
143	178	1062
144	179	1058
145	180	1054
146	181	1051
147	181	1046
